"","Symbol","industry"
"274","AZO","Specialty Retail"
"275","AVLR","Software - Application"
"276","AVB","REIT - Residential"
"277","AGR","Utilities - Regulated Electric"
"278","AVNS","Medical Instruments & Supplies"
"279","AVYA","Business Services"
"280","AVY","Business Equipment"
"281","AVH","Airlines"
"282","AVA","Utilities - Diversified"
"283","AVP","Household & Personal Products"
"284","AVX","Electronic Components"
"285","EQH","Insurance - Diversified"
"286","AXTA","Specialty Chemicals"
"287","AXS","Insurance - Property & Casualty"
"288","AXS^D",NA
"289","AXS^E",NA
"290","AX","Savings & Cooperative Banks"
"291","AXO",NA
"292","AZUL","Airlines"
"293","AZRE","Utilities - Regulated Electric"
"294","AZZ","Diversified Industrials"
"295","BGS","Packaged Foods"
"296","BW","Electronic Components"
"297","BGH","Asset Management"
"298","BMI","Scientific & Technical Instruments"
"299","BCSF","Asset Management"
"300","BHGE","Oil & Gas Equipment & Services"
"301","BBN","Asset Management"
"302","BLL","Packaging & Containers"
"303","BANC","Banks - Regional - US"
"304","BANC^D",NA
"305","BANC^E",NA
"306","BBVA","Banks - Global"
"307","BBD","Banks - Regional - Latin America"
"308","BBDO","Banks - Regional - Latin America"
"309","BCH","Banks - Regional - Latin America"
"310","BLX","Banks - Regional - Latin America"
"311","BSBR","Banks - Regional - Latin America"
"312","BSAC","Banks - Regional - Latin America"
"313","BSMX","Banks - Regional - Latin America"
"314","SAN","Banks - Global"
"315","SAN^B",NA
"316","CIB","Banks - Regional - Latin America"
"317","BXS","Banks - Regional - US"
"318","BAC","Banks - Global"
"319","BAC^A",NA
"320","BAC^B",NA
"321","BAC^C",NA
"322","BAC^E",NA
"323","BAC^K",NA
"324","BAC^L",NA
"325","BAC^W",NA
"326","BAC^Y",NA
"327","BML^G",NA
"328","BML^H",NA
"329","BML^J",NA
"330","BML^L",NA
"331","BOH","Banks - Regional - US"
"332","BMO","Banks - Global"
"333","NTB","Banks - Global"
"334","BK","Asset Management"
"335","BK^C",NA
"336","BNS","Banks - Global"
"337","BKU","Banks - Regional - US"
"338","BCS","Banks - Global"
"339","BBDC","Credit Services"
"340","MCI","Asset Management"
"341","MPV","Asset Management"
"342","BNED","Specialty Retail"
"343","BKS","Specialty Retail"
"344","B","Diversified Industrials"
"345","GOLD","Gold"
"346","BAS","Oil & Gas Equipment & Services"
"347","BHC","Drug Manufacturers - Specialty & Generic"
"348","BAX","Medical Instruments & Supplies"
"349","BTE","Oil & Gas E&P"
"350","BBT","Banks - Regional - US"
"351","BBT^D",NA
"352","BBT^E",NA
"353","BBT^F",NA
"354","BBT^G",NA
"355","BBT^H",NA
"356","BFR","Banks - Regional - Latin America"
"357","BBX","Real Estate Services"
"358","BCE","Telecom Services"
"359","BZH","Residential Construction"
"360","BDX","Medical Instruments & Supplies"
"361","BDXA",NA
"362","BDC","Electronic Components"
"363","BDC^B",NA
"364","BEL","Lodging"
"365","BMS","Packaging & Containers"
"366","BHE","Contract Manufacturers"
"367","BRK.A",NA
"368","BRK.B",NA
"369","BHLB","Banks - Regional - US"
"370","BERY","Packaging & Containers"
"371","BBY","Specialty Retail"
"372","BEST","Trucking"
"373","BHP","Industrial Metals & Minerals"
"374","BBL","Industrial Metals & Minerals"
"375","BIG","Discount Stores"
"376","BH","Restaurants"
"377","BH.A",NA
"378","BHVN","Biotechnology"
"379","BIO","Diagnostics & Research"
"380","BIO.B",NA
"381","BITA","Internet Content & Information"
"382","BJ","Specialty Retail"
"383","BKH","Utilities - Diversified"
"384","BKI","Software - Infrastructure"
"385","BSM","Oil & Gas E&P"
"386","BB","Communication Equipment"
"387","BGIO","Asset Management"
"388","BFZ","Asset Management"
"389","CII","Asset Management"
"390","BHK","Asset Management"
"391","HYT","Asset Management"
"392","BTZ","Asset Management"
"393","DSU","Asset Management"
"394","BGR","Asset Management"
"395","BDJ","Asset Management"
"396","EGF","Asset Management"
"397","FRA","Asset Management"
"398","BFO","Asset Management"
"399","BGT","Asset Management"
"400","BOE","Asset Management"
"401","BME","Asset Management"
"402","BAF","Asset Management"
"403","BKT","Asset Management"
"404","BGY","Asset Management"
"405","BKN","Asset Management"
